"";"Antyk-Eneida";"Antyk-Iliada";"Antyk-Odyseja";"Antyk-TulaczkaOdyseusza";"Lem-Ananke";"Lem-Czlowiek z marsa";"Lem-Glos Pana";"Lem-Powrot z Gwiazd";"Sienkiewicz-Ogniem i Mieczem tom pierwszy";"Sienkiewicz-Pan Wolodyjowski";"Sienkiewicz-Potop tom drugi";"Sienkiewicz-Potop tom pierwszy";"Tolkien-DruzynaPierscienia";"Tolkien-DwieWieze";"Tolkien-Hobbit";"Tolkien-PowrotKrola";"Wiedzmin-Chrzest Ognia";"Wiedzmin-Czas Pogardy";"Wiedzmin-Krew Elfow";"Wiedzmin-Wieza Jaskolki"
"analiza";0;0;0;0;0,00105596620908131;0,0002210433244916;0,000607748797163839;0,000558877773430951;0;0;0;0;0;0;0;0;0;0,000136836343732895;0;0
"analizowaæ";0;0;0;0;0,000481690530476277;0;0,000138615628977777;0;0;0;0;0;0;0;0;0;0;0;9,47965362346289e-05;0
"analogia";0;0;0;0;0,000611392324592118;0,000383944649462026;0,000263909687642371;9,70751463793778e-05;0;0;0;0;0;0;0;0;0;0;0,000481287224762041;9,55847234297934e-05
"analogiczny";0;0;0;0;0,000584640636199817;0;0,00117769038562733;0;0;0;0;0;0;0;0;0;0;0;0;0
"anatomia";0;0;0;0;0;0;0,000277231257955554;0;0;0;0;0;0;0;0;0;0;0;9,47965362346289e-05;0,000150614439476459
"anchiza";0,0025555080106134;0,00057435044346059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"anchizesa";0,000116159455027882;0,000114870088692118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"and";0;0;0;0;0;0;0;0;0,000200660108419653;0;0;0;0;0;0;0;0;0;0;0,000182804759789091
"andromacha";0,000348478365083645;0,00057435044346059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"andromacho";0,000116159455027882;0,000114870088692118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"andromachy";0,000116159455027882;0,000114870088692118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"andrzej";0;0;0;0;0;0;0;0;7,98506852846489e-05;0,000405375067429427;0,00435701208974491;0,00264059427919454;0;0;0;0;9,60703557330932e-05;9,04439035910894e-05;4,578581653115e-05;7,27453276957606e-05
"andrzeja";0;0;0;0;0;0;0;0;0;0,000419651271721283;0,00253025477976698;0,0024119901246985;0;0;0;0;0;0;0;0
"andrzejowi";0;0;0;0;0;0;0;0;0;0;0,00106818701551907;0,000390332894058793;0;0;0;0;0;0;0;0
"andrzeju";0;0;0;0;0;0;0;0;0;0;0,000133523376939884;0,000390332894058793;0;0;0;0;0;0;0;0
"anegdota";0;0;0;0;0,00116928127239963;0;0,000168241483661046;0;0;0;0;0;0;0;0;0;0;0;0;0
"anga¿owaæ";0;0;0;0;0,000584640636199817;0;0,000168241483661046;0;0;0;0;0;0;0;0;0;0;0;0;0
"angielski";0;0;0;0;0;0,0010264934106487;0,00023519150112812;0;0;0,000178007366980019;9,33288353586303e-05;0;0;0;0;0;0;0;0;0
"angra";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000337489548675489;0,00111203452820276;0,000723793047034714;0,000255550087484852
"angrenie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000374516364828435;0,000189593072469258;0,000903686636858752
"angrenu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00046022833123959;0,000365609519578182
"anielski";0;0;0;0;0;0,000191972324731013;0,000175939791761581;9,70751463793778e-05;0,000104920905718285;0,000399486107213939;0,000418899214799519;0;0;0;0;0;0;0;0;0
"anima";0;9,46424701464852e-05;0,000173121578428553;0;0;0;0;0;0;0;0,000110011077381173;0;0;0;0;0;0;0;0;0
"animozja";0;0;0;0;0,00116928127239963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000182804759789091
"animusz";0;0;0;0;0;0;0;0;0;0,00025467096710268;0;0;0;0;0;0;0;0;0;0,000182804759789091
