"";"Antyk-Eneida";"Antyk-Iliada";"Antyk-Odyseja";"Antyk-TulaczkaOdyseusza";"Lem-Ananke";"Lem-Czlowiek z marsa";"Lem-Glos Pana";"Lem-Powrot z Gwiazd";"Sienkiewicz-Ogniem i Mieczem tom pierwszy";"Sienkiewicz-Pan Wolodyjowski";"Sienkiewicz-Potop tom drugi";"Sienkiewicz-Potop tom pierwszy";"Tolkien-DruzynaPierscienia";"Tolkien-DwieWieze";"Tolkien-Hobbit";"Tolkien-PowrotKrola";"Wiedzmin-Chrzest Ognia";"Wiedzmin-Czas Pogardy";"Wiedzmin-Krew Elfow";"Wiedzmin-Wieza Jaskolki"
"zadyszany";0;0;0,000157432590978787;0;0;0,000535086137666902;0;0;0;0;0;0,000281957926667993;0;0;0;0;0;0;0;0
"zadziwiaj¹cy";0;0;8,71195382703341e-05;0;0,000450900021681976;0,000296104237112367;0,000269137836131454;0,000974106446240599;0;0;0,000315623750937015;0;0;0;0;0;0;0;0;0,000147734410147265
"zadziwiæ";0,000179222175757214;0,000195198126097989;0;0;0;0,000391006842619746;8,88494002665482e-05;0,00032157787544217;0,000199123855037834;0,000279798545047566;6,94637399277577e-05;0;0;0;0;0;0;0;5,91086416834141e-05;9,75419430355053e-05
"zadzwoniæ";0;0;0;0;0;0,000516882930552243;0;0,000141700942747064;0;0,000184936778803492;0;0,000136182970525122;0;0;0;0;0,000161191085829455;0,000308321421548073;0,000156274748183871;0,000773660609571223
"zagadaæ";0;0;0,000400677842085826;0,00330758987875693;0;0;0,000206301918692791;0;0;0;0;0;0;0;0;0;0;0;0,000137246015775349;0
"zagadkowy";0;0;0;0;0,00118064432410303;0,00155064879165673;0,000469810073704971;0,000283401885494129;0;0;0;0;0;0;0;0;0,000161191085829455;0,000924964264644219;0,000312549496367741;0,000644717174642685
"zagadn¹æ";0,000361926799170741;0;0,000174239076540668;0;0;0,000592208474224734;0;0;0,000150793824455372;0;0;0,000156028965986377;0;0;0;0;0,000369363046660104;0,000176626609076357;0;0
"zagadnienie";0;0;0;0;0;0,000391006842619746;0,000533096401599289;0,00021438525029478;0;0;0;0;0;0;0;0;0;0,000466472303206997;0,000118217283366828;0
"zagaiæ";0,000163508309586368;0,000178083518391971;0,000157432590978787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"zagarn¹æ";9,04816997926852e-05;0;0;0;0;0;0,000134568918065727;0,000162351074373433;0,000452381473366117;0,000211887685062921;0,000315623750937015;0,000156028965986377;0;0;0;0;0;0;0;0
"zagas³y";0,000693568341862525;0;0,000133559280695275;0;0;0;0;0;0;0;0,00016128980931421;0,000239201410825936;0;0;0;0;0;0;0;0
"zagin¹æ";0,000138713668372505;0;0;0;0;0;0;0;0,000462351273374624;0,000324836051327275;0;0;0;0;0;0;0;0;0;0,000226485377964042
"zaginiona";0;0;0;0;0;0;0;0;0,000272497570108145;0;0;0;0;0;0;0,012971400920219;0;0,000957538983381763;0;0
"zaginiony";0;0;0;0,00330758987875693;0;0;0;0,000248893567894454;0;0;0;0;0;0;0;0;0;0;0,000137246015775349;0,000226485377964042
"zagl¹daæ";0;0;7,6038429386676e-05;0;0,000393548108034344;0,000516882930552243;0;0,000425102828241193;0,000526454836673581;0;0;0;0;0;0;0;0,000483573257488366;0;7,81373740919354e-05;0,000515773739714148
"zagl¹daj¹c";0;0;0;0;0;0;0;0;0;0;0,000190119866224382;0;0;0;0;0;0,000333735592508987;0;0,000161778318605403;0
"zag³ada";0,000238962901009618;0,000390396252195979;0,000287604256542997;0;0,00119083060434653;0;0,00115504220346513;0;0;0;0;0;0;0;0;0,004739336492891;0,000121936349225704;0,000233236151603499;0,000236434566733656;9,75419430355053e-05
"zag³êbiæ";0;0,000178083518391971;0;0;0;0;0;0,000586765053953523;0;0;0;0;0;0;0;0;0;0;0,000161778318605403;0
"zag³êbienie";0;0;0,000133559280695275;0;0;0,000453944886585995;0;0,000746680703683362;0;0;0;0;0;0;0;0;0;0;0;0,000452970755928085
"zag³oba";0;0;0;0;0;0;0;0;0,00300528327693506;0,0734129475999642;0,0120967356985657;0,000239201410825936;0;0;0;0;0;0;0;0
"zag³obê";0;0;0;0;0;0;0;0;0,000272497570108145;0,00804088940647598;0,00133083906357068;0;0;0;0;0;0;0;0;0
"zag³oby";0;0;0;0;0;0;0;0;0,00054499514021629;0,00689219091983656;0,00228143839469259;0;0;0;0;0;0;0;0;0
"zag³uszyæ";0;0;0;0;0,000595415302173266;0;0,000355397601066193;0;0;0,000279798545047566;0;0;0;0;0;0;0,000975490793805634;0;0,000118217283366828;0
"zagnaæ";0,000716888703028855;0;0,00103537532355479;0;0;0;0;0;0;0;0,000277854959711031;0;0;0;0;0;0;0,000233236151603499;0,000118217283366828;0
"zagniewaæ";0,000358444351514427;0,00143145292471859;0;0;0;0;0;0;0;0,000279798545047566;0,000138927479855515;0;0;0;0;0;0;0;0;0,000195083886071011
"zagnieŸdziæ";0;0,000178083518391971;0;0;0;0;0,000243177751591844;0;0,000272497570108145;0;0;0;0;0;0;0;0;0;0;0
"zagon";0,000358444351514427;0;0;0;0;0;0;0;0,000398247710075667;0,000279798545047566;0,000277854959711031;0;0;0;0;0;0,000975490793805634;0;0;0
"zagorza³y";0;0;0,000157432590978787;0;0;0;0;0;0;0;0,000570359598673147;0,000281957926667993;0;0;0;0;0;0;0;0
"zagotowaæ";0;0;0;0;0;0,000391006842619746;0;0;0;0;0,000138927479855515;0;0;0;0;0;0,000243872698451408;0;0,000118217283366828;0,000195083886071011
"zagraæ";6,88215002954209e-05;0;0;0;0;0;0;0,000370458707292866;0,000114695648491144;0,00016116439471811;0,000240067329837118;0,000237355123816844;0;0;0;0;0,000140471051511407;0;0,000136186676137256;0,000112368620117543
"zagradzaæ";0;0;0;0;0;0,000535086137666902;0;0,000586765053953523;0;0;0;0;0;0;0;0;0;0;0;0,000266968942076298
"zagraniczny";0;0;0;0;0;0;0,000154328351325296;0;0;0,000243000223022693;0,000120656126296624;0,000178939486367179;0;0;0;0;0,000423598486566567;0;0;0,000508280997122378
"zagra¿aæ";0;0,00019709456344977;0,000348478153081336;0;0;0;0,000134568918065727;0;0,000603175297821489;0;0,000105207916979005;0;0;0;0;0;0,000184681523330052;0;8,95243629761058e-05;0
"zagroda";6,88215002954209e-05;0,000299825126799414;0,00145781237019218;0;0;0;0;0;0,000114695648491144;0;8,00224432790393e-05;0,000118677561908422;0;0;0;0;0;0,000134344384075225;0,000136186676137256;0,000112368620117543
"zagryŸæ";7,89729431201005e-05;0;0;0;0;0;0;0,000141700942747064;0;0,000184936778803492;9,18260693864519e-05;0;0;0;0;0;0,00032238217165891;0,000154160710774036;0,000234412122275806;0,000386830304785611
"zagrzaæ";0;0,00259940195626409;0,000199823479340375;0;0;0;0;0;0,000172935642589228;0;0,000120656126296624;0,000178939486367179;0;0;0;0;0;0;0,000308009030765966;0
"zagrzebaæ";0,000138713668372505;0,000755393355093813;0,000267118561390551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000274492031550699;0
"zagrzmieæ";0,000119481450504809;0,000130132084065326;0,000287604256542997;0;0,000297707651086633;0,000391006842619746;0;0,00021438525029478;0;0;0;0,000103018440300814;0;0;0;0;0,000243872698451408;0,000466472303206997;0,000177325925050242;0
"zagubiæ";0;0,000113017476359308;9,99117396701873e-05;0;0;0;0,000154328351325296;0;0;0;0;0;0;0;0;0;0;0,000202561585325505;0,000102669676921989;0,000677707996163171
"zagwoŸdziæ";0;0;0;0;0,000814815598144152;0;0,000243177751591844;0;0;0;0,000380239732448764;0;0;0;0;0;0;0;0;0
"zahaczaæ";0;0;0;0;0;0,000535086137666902;0,000243177751591844;0,000293382526976761;0;0;0;0;0;0;0;0;0;0;0;0
"zahaczyæ";0,000138713668372505;0;0,000133559280695275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000137246015775349;0,000226485377964042
"zahamowaæ";0;0;0;0;0,000595415302173266;0;0,000355397601066193;0,000428770500589559;0;0,000279798545047566;0,000138927479855515;0;0;0;0;0;0;0;0;0
"zahartowaæ";0,000138713668372505;0;0;0;0;0;0;0;0;0;0;0,000239201410825936;0;0;0;0;0;0;0,000137246015775349;0,000226485377964042
"zahuczeæ";0,00018096339958537;9,8547281724885e-05;0;0;0;0,000296104237112367;0;0;0;0;0;0;0;0;0;0;0,000184681523330052;0,000176626609076357;8,95243629761058e-05;0,00029546882029453
"zaimponowaæ";0;0;0;0;0;0;0;0,000248893567894454;0,000231175636687312;0;0;0;0;0;0;0;0;0,000270778786575786;0,000137246015775349;0
"zaimprowizowaæ";0;0;0;0;0;0;0,000206301918692791;0,000248893567894454;0;0;0;0;0;0;0;0;0;0,000270778786575786;0;0,000452970755928085
"zainteresowaæ";0;0;0;0;0;0,000296104237112367;0,000269137836131454;0,000162351074373433;0;0;0;0;0;0;0;0;0,000369363046660104;0,000176626609076357;0,000447621814880529;0,000147734410147265
"zainteresowanie";0;0;0;0;0;0;0,000617313405301184;0,000930949509146857;0;0;0;0;0;0;0;0;0,00105899621641642;0,00121536951195303;0,000513348384609944;0,00101656199424476
"zajad³y";0,00018096339958537;0,00236513476139724;0,000174239076540668;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000369363046660104;0,000176626609076357;0,000179048725952212;0,000147734410147265
"zajaœnia³y";0,000138713668372505;0,000302157342037525;0,000267118561390551;0;0;0;0;0,000248893567894454;0;0;0;0;0;0;0;0;0;0;0;0
"zajaœnieæ";0;0;0;0;0;0;0;0,000248893567894454;0;0,000324836051327275;0;0,000239201410825936;0;0;0;0;0;0;0,000137246015775349;0
"zajazd";0;0;7,6038429386676e-05;0;0;0;0;0;0,000394841127505186;0,000184936778803492;0,000550956416318712;0,000272365941050245;0;0;0;0;0;0,00154160710774036;7,81373740919354e-05;0,00180520808899952
"zaj¹c";7,89729431201005e-05;0,000258037886958298;7,6038429386676e-05;0;0;0;0;0;0,000131613709168395;0;0;0,000408548911575367;0;0;0;0;0,00032238217165891;0;0,000156274748183871;0,000128943434928537
"zaj¹kn¹æ";0;0;0;0;0;0;0,000355397601066193;0;0;0;0;0;0;0;0;0;0,000243872698451408;0,000699708454810496;0,000591086416834141;0,000390167772142021
"zajda";0,00018096339958537;0,000295641845174655;0;0;0,000450900021681976;0;0;0;0;0;0;0,000156028965986377;0;0;0;0;0,000184681523330052;0;8,95243629761058e-05;0,00029546882029453
