"";"Antyk-Eneida";"Antyk-Iliada";"Antyk-Odyseja";"Antyk-TulaczkaOdyseusza";"Lem-Ananke";"Lem-Czlowiek z marsa";"Lem-Glos Pana";"Lem-Powrot z Gwiazd";"Sienkiewicz-Ogniem i Mieczem tom pierwszy";"Sienkiewicz-Pan Wolodyjowski";"Sienkiewicz-Potop tom drugi";"Sienkiewicz-Potop tom pierwszy";"Tolkien-DruzynaPierscienia";"Tolkien-DwieWieze";"Tolkien-Hobbit";"Tolkien-PowrotKrola";"Wiedzmin-Chrzest Ognia";"Wiedzmin-Czas Pogardy";"Wiedzmin-Krew Elfow";"Wiedzmin-Wieza Jaskolki"
"zgubny";0,000595557789078422;0,000852087208255358;0,000127497706448761;0;0;0,000106324145008233;0,000107644484743077;0;6,20915028129339e-05;0;0,000118484188839954;0;0;0;0;0;7,40783465893731e-05;0;0;0
"zgwa³ciæ";0,000184602329057669;0,000119733303848775;0;0;0;0;0;0;0;0;6,93713392156602e-05;0,000102301101241898;0;0;0;0;0;0;0;0
"zhañbiæ";7,25331423693806e-05;0,00014113526333202;0,000131987827944263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"zhukane";0;8,56498155185603e-05;8,00985724420071e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ziaæ";2,28572766271815e-05;2,22378877465532e-05;0;0;0,000117043896899181;0,000138743099211786;3,51165048756185e-05;0,000101204264432675;4,05118119422295e-05;0;0;0;0;0;0;0;4,83326688848453e-05;9,0688867698866e-05;9,11296398383502e-05;3,63003567445314e-05
"ziarenko";0;0;0;0;0;0;0,000111435429915973;0;0;0;0;0;0;0;0;0;0;0,000287783564919427;7,22955674934282e-05;0
"ziarnko";0;7,05676316660102e-05;0;0;0;0;0;0;0;0,000457278724799433;8,17712525519466e-05;0;0;0;0;0;0;0;0;0
"ziarno";1,64702490259784e-05;1,60239364895261e-05;4,49561191676226e-05;0;0;0;0,000101215484181633;2,43082245373438e-05;0;3,46117385133811e-05;5,57038968133253e-05;5,47639226987065e-05;0;0;0;0,00120677354708014;3,4827031479197e-05;3,2673801416659e-05;0,000131330419302926;5,23138364264537e-05
"zidentyfikowaæ";0;0;0;0;0;0;0,000222870859831945;0,000107050713582595;0;0;0;0;0;0;0;0;0;0;0;0,000115192154636625
"ziej¹c";0,000264106224748558;0;8,00985724420071e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ziele";0,000106005194254518;5,1566327188346e-05;0;0,00245549416820135;0;0;0;0;0;0;0;0;0;0;0;0;0,00011207621182404;0,000105146942852637;0;0
"zieleniæ";0,000230159219028755;0;0;0;0,000235712524652762;0;0;0,000339688972927251;0;0;0;0;0;0;0;0;9,73362619314209e-05;0,00018263662206679;4,58810712178722e-05;0
"zielenieæ";0;0;0;0;0;0;0;0;0,000128556392398601;0,000152426241599811;0;0;0;0;0;0;0,000153374367843441;0;0;0
"zieleñ";0,000123068219371779;0;0;0;0,00094528216646249;0,000560265767285618;0;0,000544904312955144;0;0;0;0;0;0;0;0;0;0;0;0
"zielny";0;0;0;0;0;0;0;0;0,000156032320098044;0;0;0;0;0;0;0;0,000186154558413413;0;0;0
"zielonawy";0;0;0,000131987827944263;0;0;0,000220137182833283;0;0;0;0;0;0,000120587108171397;0;0;0;0;0;0;0;0
"zielone";0;5,1566327188346e-05;0;0,000613873542050338;0;0,000160862221507279;0;0,000312903351977158;0;0;2,98766096023423e-05;4,40586861699784e-05;0;0;0;0;0,000168114317736061;0,000157720414278955;7,92434888266681e-05;0,000294612794612795
"zielonego";0;0;0;0;0;0;0;0,000107050713582595;0;0;0;0;0;0;0;0;0;0,000287783564919427;7,22955674934282e-05;0
"zielonkawy";0;0;6,59939139721314e-05;0;0;0,000220137182833283;0;0,00021410142716519;0;0;0;0;0;0;0;0;0;0;0;0
"zielono";0;0;5,59864995270986e-05;0;0;0;9,45371969743643e-05;9,0817385492524e-05;0;0;0;0;0;0;0;0;0;0;6,13325610145111e-05;0
"zielonooki";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000153374367843441;0,000143891782459713;7,22955674934282e-05;0
"zielony";6,58809961039137e-05;3,20478729790522e-05;2,99707461117484e-05;0;0,000253014673665193;9,99740009243578e-05;0;0,000170157571761407;2,91915630223706e-05;6,92234770267621e-05;0;8,21458840480597e-05;0;0;0;0;0,000174135157395985;0,000130695205666636;0,00011491411689006;5,23138364264537e-05
"zielonych";9,20636876115019e-05;0;0;0;0,000235712524652762;0;7,07204753131471e-05;0;0;0;0;7,6528422001419e-05;0;0;0;0;0;0;0,000183524284871489;0,000146209225098166
"zielonym";9,20636876115019e-05;0;0;0;0;0;0;6,79377945854502e-05;0;0;0;0;0;0;0,0013340749571169;0;0;9,1318311033395e-05;0,000137643213653617;7,31046125490828e-05
"zielonymi";0;0;0;0;0;0;0;0;0;0;0;0,000120587108171397;0;0;0;0;0,000153374367843441;0;7,22955674934282e-05;0
